eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
1096.56,169.37,352,0.0027270624,0.10510255,0.8264017,-0.0026498048,0.17373896,0.9049660637974739,112,14336,3842.637812882662,1376256
1135.65,173.94,355,0.003648646,0.12310791,0.8097141,0.00041750883,0.20565434,0.9091242104768753,113,14464,3877.239956717938,1388544
1209.97,193.06,354,0.002107995,0.08892822,0.8329724,-0.0031934723,0.24172576,0.9060824736952782,114,14592,3911.9261370375752,1400832
1157.55,188.05,358,0.0031294932,0.1210734,0.83900386,-0.0030695999,0.27496693,0.8883550390601158,115,14720,3946.1680547297,1413120
1132.38,184.82,359,0.0019179061,0.09092204,0.85398227,-0.0028297512,0.26207757,0.8999708518385887,116,14848,3980.3485370874405,1425408
1125.05,183.41,355,0.0017959318,0.08186849,0.850118,-0.0022534602,0.29245132,0.8940839841961861,117,14976,4014.9448125362396,1437696
1131.66,182.56,358,0.0029116895,0.119181305,0.8514086,-0.0043086642,0.30189338,0.902374342083931,118,15104,4049.200865637511,1449984
1152.5,187.05,357,0.0021601892,0.093953446,0.8657119,-0.0030198598,0.14720847,0.9354907870292664,119,15232,4083.6161944828928,1462272
1171.42,190.15,353,0.0025850686,0.09906006,0.86125755,-0.0030882603,0.15520617,0.9265097603201866,120,15360,4118.408364143223,1474560
1240.87,203.13,357,0.004817753,0.15372722,0.8545797,0.0014063367,0.1495695,0.94090860709548,121,15488,4152.774797305465,1486848
1199.08,194.57,355,0.0038850268,0.13812256,0.8679803,0.00042675098,0.17982556,0.9256987646222115,122,15616,4187.306645087898,1499136
1102.56,174.82,354,0.002725003,0.10491943,0.86020106,-0.0016401985,0.17083499,0.9280776455998421,123,15744,4221.972244620323,1511424
1174.73,184.88,358,0.0018399593,0.07515462,0.8554025,-0.003099884,0.1105124,0.9510430879890919,124,15872,4256.276666030288,1523712
1154.07,178.43,357,0.0026580903,0.10168456,0.85406125,-0.0020542077,0.1314643,0.9546933509409428,125,16000,4290.6171729154885,1536000
1123.15,173.5,351,0.0031071722,0.11714681,0.8622755,-0.0014720411,0.2303823,0.9207414910197258,126,16128,4325.545032743365,1548288
1087.09,166.05,352,0.0019756535,0.09043376,0.8595794,-0.0017699297,0.16428204,0.94138203561306,127,16256,4360.430751465261,1560576
1056.68,156.29,360,0.003097246,0.12736003,0.8546834,-0.0035562625,0.19949058,0.9200801625847816,128,16384,4394.556597433984,1572864
967.53,138.32,357,0.00258411,0.10290528,0.8290304,-0.0024531921,0.21561491,0.9118581637740135,129,16512,4428.929324492812,1585152
991.41,142.69,358,0.0016841609,0.07063802,0.82981527,-0.00427469,0.19549301,0.915529377758503,130,16640,4463.203910171986,1597440
1083.6,157.52,358,0.0022425402,0.10121663,0.8278103,-0.0029058668,0.24395448,0.9073350951075554,131,16768,4497.460839264095,1609728
1073.69,156.91,361,0.003676762,0.12567139,0.8281108,0.00036168145,0.24827772,0.8970673456788063,132,16896,4531.497413858771,1622016
1097.95,161.89,359,0.0017943548,0.07409667,0.8288175,-0.002377187,0.23524995,0.9007213190197945,133,17024,4565.674043852836,1634304
1078.53,157.05,359,0.0025566774,0.10182698,0.8406166,-0.0034252629,0.22455913,0.9033336415886879,134,17152,4599.827184271067,1646592
1152.43,172.53,359,0.0029656154,0.11096191,0.84055734,-0.0006966658,0.20454583,0.9207010045647621,135,17280,4634.041701812297,1658880
1149.37,174.47,357,0.0062586996,0.18046063,0.82744414,0.002455743,0.19521256,0.929746225476265,136,17408,4668.4416440576315,1671168
1206.18,182.14,354,0.002619079,0.10882568,0.8338691,-0.0016331756,0.22937398,0.9101891964673996,137,17536,4703.122008126229,1683456
1220.9,186.63,354,0.004624737,0.15763345,0.83933586,-0.0010774145,0.19460373,0.919459767639637,138,17664,4737.746833007783,1695744
