eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
210.19,2.18,520,0.0016105674,0.07792155,1.3332232,-0.0017141588,0.008362898,0.9251547381281853,56,7168,1360.7337841689587,688128
217.81,2.4,519,0.0016879861,0.06077067,1.3420758,-0.0013207599,0.013379983,0.8803026154637337,57,7296,1384.4104889072478,700416
233.46,2.83,523,0.0012380942,0.04264323,1.3450786,-0.0016235489,0.01840529,0.8134950250387192,58,7424,1407.9038356877863,712704
228.55,2.65,517,0.0015996338,0.060668945,1.3457608,-0.0011116478,0.02417272,0.769834890961647,59,7552,1431.6271542981267,724992
230.44,2.76,510,0.0009851573,0.04054769,1.3398157,-0.00064636697,0.025998734,0.7471297979354858,60,7680,1455.7216635644436,737280
221.11,2.52,515,0.0012751681,0.065979004,1.3320285,-0.0012346988,0.026531357,0.7542365938425064,61,7808,1479.573599819094,749568
228.56,2.69,505,0.00091941893,0.031901043,1.3228781,-0.001307151,0.018941129,0.8289298862218857,62,7936,1503.898639332503,761856
237.49,2.95,515,0.0012828344,0.056274414,1.3070817,-0.0018531308,0.021590525,0.7771488428115845,63,8064,1527.7493198476732,774144
254.22,3.26,523,0.0012554318,0.033040363,1.3064566,-0.0009739821,0.02465075,0.7515900582075119,64,8192,1551.20521113649,786432
261.86,3.54,504,0.0013849849,0.05094401,1.2966781,-0.0018307781,0.02985848,0.6850426495075226,65,8320,1575.5452048145235,798720
253.71,3.53,520,0.0012581421,0.052612305,1.2936028,-0.0013759903,0.035217326,0.6745361983776093,66,8448,1599.15261515975,811008
243.81,3.29,512,0.0013633127,0.044311523,1.2872332,-0.0018499817,0.02953756,0.741053432226181,67,8576,1623.1223068013787,823296
239.22,3.08,505,0.0012836556,0.037577312,1.2857541,-0.0016464702,0.030026492,0.7380970120429993,68,8704,1647.4257386177778,835584
249.67,3.37,503,0.00095424376,0.029886883,1.2860485,-0.0011846666,0.03274376,0.7163383364677429,69,8832,1671.8290173448622,847872
276.88,4.22,512,0.0007718424,0.018371582,1.2780247,-0.00086844084,0.03978901,0.7162126004695892,70,8960,1695.7991758324206,860160
279.21,4.48,506,0.0011219746,0.043233234,1.2673541,-0.0015992055,0.032909673,0.7103649377822876,71,9088,1720.058529637754,872448
